position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
115,Dzień świra,2002,1h 33m,"7,8",631078,"8,4",89,['Marek Koterski'],['Marek Koterski'],['Polska'],07.06.2002,,$1 277 521 ,$1 277 521 ,,,"['Dramat', 'Komedia', 'Psychologiczny']"
116,Taxi Driver,1976,1h 53m,"7,8",242889,"8,5",90,['Martin Scorsese'],['Paul Schrader'],['USA'],08.02.1976,31.12.1976,$28 579 636 ,$28 262 574 ,$317 062 ,$1 300 000,['Dramat']
117,Primal Fear,1996,2h 9m,"7,9",150363,"7,0",46,['Gregory Hoblit'],"['Steve Shagan', 'Ann Biderman']",['USA'],01.04.1996,09.08.1996,$102 616 183 ,$56 116 183 ,$46 500 000 ,$30 000 000,"['Thriller', 'Dramat']"
118,The Game,1997,2h 8m,"7,8",233283,"7,2",62,['David Fincher'],"['John Brancato', 'Michael Ferris']",['USA'],03.09.1997,26.12.1997,$109 423 648 ,$48 323 648 ,$61 100 000 ,$50 000 000,['Thriller']
119,Law Abiding Citizen,2009,1h 49m,"7,8",216131,"6,4",22,['F. Gary Gray'],['Kurt Wimmer'],['USA'],23.09.2009,27.11.2009,$127 944 208 ,$73 357 727 ,$54 586 481 ,$50 000 000,['Thriller']
120,Some Like It Hot,1959,2h,"7,9",104655,"8,3",54,['Billy Wilder'],"['I.A.L. Diamond', 'Billy Wilder']",['USA'],29.03.1959,29.01.2010,$25 038 874 ,$2 883 848,,,['Komedia']
121,The Meaning of Life,1983,1h 47m,"7,9",131154,"7,9",48,"['Terry Gilliam', 'Terry Jones']","['John Cleese', 'Graham Chapman']",['Wielka Brytania'],31.03.1983,,$14 949 697 ,$14 929 552 ,$20 145 ,$9 000 000,['Komedia']
122,Incendies,2010,2h 10m,"8,1",54786,"8,1",46,['Denis Villeneuve'],['Denis Villeneuve'],"['Kanada', 'Francja']",03.09.2010,,$6 788 659 ,$2 071 334 ,$4 717 325 ,$6 800 000,"['Dramat', 'Wojenny']"
123,Gone with the Wind,1939,3h 46m,"7,9",109475,"8,4",43,"['George Cukor', 'Sam Wood']",['Sidney Howard'],['USA'],15.12.1939,stycznia 1963,$402 382 193 ,$200 882 193 ,$201 500 000 ,$3 977 000,"['Kostiumowy', 'Melodramat']"
124,Hotaru no Haka,1988,1h 29m,"8,1",54827,"8,3",37,['Isao Takahata'],['Isao Takahata'],['Japonia'],16.04.1988,24.01.2014,,,,,"['Dramat', 'Anime']"
