position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
192,Breakfast at Tiffany's,1961,1h 55m,"7,8",159073,"6,9",52,['Blake Edwards'],['George Axelrod'],['USA'],05.10.1961,31.12.1961,$9 794 702 ,$9 551 904 ,$242 798 ,$2 500 000,['Melodramat']
193,I Am Sam,2001,2h 12m,"7,8",88763,"6,9",19,['Jessie Nelson'],"['Jessie Nelson', 'Kristine Johnson']",['USA'],03.12.2001,,$97 818 139 ,$40 311 852 ,$57 506 287 ,$22 000 000,['Dramat obyczajowy']
194,Blade Runner,1982,1h 57m,"7,7",215631,"8,5",84,['Ridley Scott'],"['Hampton Fancher', 'David Webb Peoples']","['USA', 'Hongkong', 'Wielka Brytania']",25.06.1982,01.12.1990,$41 722 424 ,$32 914 489 ,$8 807 935 ,$28 000 000,"['Thriller', 'Sci-Fi']"
195,Song of the Sea,2014,1h 33m,"8,1",38194,"8,3",27,['Tomm Moore'],['Will Collins'],"['Dania', 'Irlandia', 'Belgia', 'Luksemburg', 'Francja']",06.09.2014,08.05.2015,$4 253 152 ,$857 522 ,$3 395 630 ,,"['Animacja', 'Familijny', 'Fantasy']"
196,Thor: Ragnarok,2017,2h 10m,"7,7",182930,"6,9",72,['Taika Waititi'],"['Craig Kyle', 'Christopher L. Yost']",['USA'],10.10.2017,25.10.2017,$853 983 879 ,$315 058 289 ,$538 925 590 ,$180 000 000,"['Fantasy', 'Przygodowy']"
197,Coach Carter,2005,2h 16m,"7,8",108947,"6,6",17,['Thomas Carter'],"['John Gatins', 'Mark Schwahn']","['USA', 'Niemcy']",13.01.2005,,$76 669 806 ,$67 264 877 ,$9 404 929 ,$30 000 000,"['Biograficzny', 'Dramat', 'Sportowy']"
198,Harry Potter and the Prisoner of Azkaban,2004,2h 21m,"7,7",424055,"7,5",68,['Alfonso Cuarón'],['Steve Kloves'],"['USA', 'Wielka Brytania']",23.05.2004,04.06.2004,$808 485 294 ,$250 105 651 ,$558 379 643 ,$130 000 000,"['Familijny', 'Fantasy', 'Przygodowy']"
199,Mulan,1998,1h 28m,"7,7",169309,"7,5",46,"['Barry Cook', 'Tony Bancroft']","['Rita Hsiao', 'Chris Sanders']",['USA'],05.06.1998,20.11.1998,$304 320 254 ,$120 620 254 ,$183 700 000 ,$70 000 000,"['Animacja', 'Fantasy', 'Przygodowy']"
200,The Life of David Gale,2003,2h 10m,"7,8",109080,"6,5",17,['Alan Parker'],['Charles Randolph'],"['USA', 'Niemcy', 'Wielka Brytania', 'Hiszpania']",07.02.2003,11.07.2003,$38 955 598 ,$19 955 598 ,$19 000 000 ,$38 000 000,['Dramat']
201,Black Swan,2010,1h 48m,"7,7",373926,"7,2",77,['Darren Aronofsky'],"['Mark Heyman', 'John J. McLaughlin']",['USA'],01.09.2010,21.01.2011,$329 398 046 ,$106 954 678 ,$222 443 368 ,$13 000 000,"['Dramat', 'Psychologiczny']"
202,Rear Window,1954,1h 52m,"7,9",63372,"8,5",63,['Alfred Hitchcock'],['John Michael Hayes'],['USA'],04.08.1954,,$37 034 579 ,$36 764 313 ,$270 266 ,$1 000 000,"['Psychologiczny', 'Dreszczowiec']"
203,The Girl with the Dragon Tattoo,2011,2h 38m,"7,7",329674,"7,2",63,['David Fincher'],['Steven Zaillian'],"['USA', 'Szwecja', 'Norwegia']",12.12.2011,13.01.2012,$232 617 430 ,$102 515 793 ,$130 101 637 ,$90 000 000,"['Kryminał', 'Thriller']"
204,Donnie Darko,2001,1h 53m,"7,7",212292,"7,4",63,['Richard Kelly'],['Richard Kelly'],['USA'],19.01.2001,,$7 012 321 ,$1 478 493 ,$5 533 828 ,$6 000 000,['Dramat']
205,Captain Phillips,2013,2h 14m,"7,7",220714,"7,3",57,['Paul Greengrass'],['Billy Ray'],['USA'],27.09.2013,08.11.2013,$218 791 811 ,$107 100 855 ,$111 690 956 ,$55 000 000,"['Biograficzny', 'Dramat']"
206,Kōkaku Kidōtai,1995,1h 22m,"7,9",71021,"7,8",41,['Mamoru Oshii'],['Kazunori Itô'],"['Japonia', 'Wielka Brytania']",18.11.1995,1997,,,,,"['Akcja', 'Sci-Fi', 'Anime']"
207,Knives Out,2019,2h 10m,"7,7",189328,"7,7",100,['Rian Johnson'],['Rian Johnson'],['USA'],07.09.2019,29.11.2019,$312 897 920 ,$165 363 234 ,$147 534 686 ,$40 000 000,"['Dramat', 'Komedia', 'Kryminał']"
208,Chinatown,1974,2h 15m,"7,9",73134,"8,4",60,['Roman Polański'],"['Roman Polański', 'Robert Towne']",['USA'],19.06.1974,31.12.1974,$29 225 935 ,$29 200 000 ,$25 935 ,$6 000 000,"['Kryminał', 'Film-Noir']"
209,Yip Man,2008,1h 46m,"7,8",73727,"7,3",10,['Wilson Yip'],"['Edmond Wong', 'Chan Tai-Li']","['Hongkong', 'Chiny']",12.12.2008,,$22 108 789 ,$22 108 789 ,,,"['Biograficzny', 'Sztuki walki']"
210,2001: A Space Odyssey,1968,2h 21m,"7,7",142342,"8,7",77,['Stanley Kubrick'],"['Arthur C. Clarke', 'Stanley Kubrick']","['USA', 'Wielka Brytania']",02.04.1968,30.12.1990,$65 889 846 ,$60 481 243 ,$5 408 603 ,$12 000 000,['Sci-Fi']
211,Vabank,1981,1h 44m,"7,7",159784,"7,3",46,['Juliusz Machulski'],['Juliusz Machulski'],['Polska'],października 1981,,,,,,['Komedia kryminalna']
212,Przypadek,1981,2h 2m,"8,0",45011,"8,0",58,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],['Polska'],10.01.1987,,,,,,"['Dramat', 'Psychologiczny', 'Polityczny']"
213,Persona,1966,1h 25m,"8,1",32362,"8,6",55,['Ingmar Bergman'],['Ingmar Bergman'],['Szwecja'],18.10.1966,17.11.2006,,,,,"['Dramat', 'Psychologiczny']"
214,The Blind Side,2009,2h 8m,"7,7",159326,"5,7",43,['John Lee Hancock'],['John Lee Hancock'],['USA'],17.11.2009,01.06.2010,$309 231 694 ,$255 982 860 ,$53 248 834 ,$29 000 000,"['Biograficzny', 'Dramat', 'Sportowy']"
215,Interview with the Vampire: The Vampire Chronicles,1994,2h 3m,"7,7",312914,"7,0",60,['Neil Jordan'],['Anne Rice'],['USA'],09.11.1994,31.12.1994,$223 664 608 ,$105 264 608 ,$118 400 000 ,$60 000 000,"['Dramat', 'Horror']"
216,How to Train Your Dragon 2,2014,1h 45m,"7,7",176587,"7,3",43,['Dean DeBlois'],['Dean DeBlois'],['USA'],16.05.2014,20.06.2014,$621 537 519 ,$177 002 924 ,$444 534 595 ,$145 000 000,"['Animacja', 'Familijny', 'Fantasy', 'Przygodowy']"
217,Mary and Max,2009,1h 32m,"7,9",53177,"8,1",26,['Adam Elliot'],['Adam Elliot'],['Australia'],15.01.2009,,$1 740 429 ,$1 740 429 ,,,"['Animacja', 'Dramat', 'Komedia']"
218,Ziemia obiecana,1974,2h 59m,"7,9",56842,"8,3",56,['Andrzej Wajda'],['Andrzej Wajda'],['Polska'],21.02.1975,,,,,,['Obyczajowy']
219,Singin' in the Rain,1952,1h 43m,"7,9",54149,"8,2",52,"['Stanley Donen', 'Gene Kelly']","['Betty Comden', 'Adolph Green']",['USA'],27.03.1952,,$2 086 028 ,$1 884 537 ,$201 491 ,$2 540 800,"['Komedia', 'Musical', 'Romans']"
220,Psy,1992,1h 44m,"7,7",215452,"7,5",78,['Władysław Pasikowski'],['Władysław Pasikowski'],['Polska'],31.12.1992,,,,,,['Sensacyjny']
221,Pociąg,1959,1h 33m,"8,1",33032,"8,4",55,['Jerzy Kawalerowicz'],"['Jerzy Kawalerowicz', 'Jerzy Lutowski']",['Polska'],26.08.1959,06.09.1959,,,,,"['Dramat', 'Psychologiczny']"
222,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 33m,"8,0",46005,"8,2",68,['Stanley Kubrick'],"['Peter George', 'Stanley Kubrick']","['Wielka Brytania', 'USA']",29.01.1964,,$9 523 464 ,$9 440 272 ,$83 192 ,$1 800 000,['Satyra']
223,7. Koğuştaki Mucize,2019,2h 12m,"8,2",26763,"5,0",2,['Mehmet Ada Öztekin'],['Kubilay Tat'],['Turcja'],10.10.2019,,$17 163 660 ,$17 163 660 ,,,['Dramat']
224,A Perfect World,1993,2h 18m,"7,8",83826,"7,4",25,['Clint Eastwood'],['John Lee Hancock'],['USA'],24.11.1993,,$135 130 999 ,$31 130 999 ,$104 000 000 ,,['Dramat']
225,Empire of the Sun,1987,2h 34m,"7,8",96091,"7,1",28,['Steven Spielberg'],"['Menno Meyjes', 'Tom Stoppard']",['USA'],08.12.1987,31.12.1987,$22 238 696 ,$38 000 000,,,"['Dramat', 'Wojenny']"
226,End of Watch,2012,1h 49m,"7,7",143035,"7,1",48,['David Ayer'],['David Ayer'],['USA'],08.09.2012,14.12.2012,$55 078 146 ,$41 003 371 ,$14 074 775 ,$7 000 000,"['Kryminał', 'Thriller']"
227,The Bourne Ultimatum,2007,1h 55m,"7,7",182398,"7,5",31,['Paul Greengrass'],"['Tom Stoppard', 'Tony Gilroy']","['USA', 'Niemcy', 'Francja', 'Hiszpania']",25.07.2007,07.09.2007,$444 100 035 ,$227 471 070 ,$216 628 965 ,$110 000 000,['Sensacyjny']
228,The Last Samurai,2003,2h 34m,"7,7",281084,"6,3",42,['Edward Zwick'],"['Edward Zwick', 'John Logan']","['USA', 'Nowa Zelandia', 'Japonia']",22.11.2003,30.01.2004,$454 627 263 ,$111 127 263 ,$343 500 000 ,$140 000 000,['Dramat historyczny']
229,Boże Ciało,2019,1h 55m,"7,7",220084,"7,7",96,['Jan Komasa'],['Mateusz Pacewicz'],['Polska'],29.08.2019,11.10.2019,$9 943 901 ,$127 240 ,$9 816 661 ,$1 300 000,['Obyczajowy']
230,American Beauty,1999,2h 2m,"7,6",524280,"8,2",87,['Sam Mendes'],['Alan Ball'],['USA'],08.09.1999,11.02.2000,$356 296 601 ,$130 096 601 ,$226 200 000 ,$15 000 000,"['Dramat', 'Komedia']"
231,Taken,2008,1h 33m,"7,6",359483,"6,6",53,['Pierre Morel'],"['Luc Besson', 'Robert Mark Kamen']","['Francja', 'USA', 'Wielka Brytania']",16.02.2008,15.08.2008,$226 837 760 ,$145 000 989 ,$81 836 771 ,$25 000 000,['Sensacyjny']
232,Big Hero 6,2014,1h 42m,"7,7",167478,"7,0",47,"['Don Hall', 'Chris Williams']","['Jordan Roberts', 'Robert L. Baird']",['USA'],23.10.2014,28.11.2014,$657 869 686 ,$222 527 828 ,$435 341 858 ,$165 000 000,"['Animacja', 'Komedia', 'Akcja', 'Sci-Fi']"
233,Mystic River,2003,2h 17m,"7,7",187063,"7,7",61,['Clint Eastwood'],['Brian Helgeland'],"['USA', 'Australia']",23.05.2003,14.11.2003,$156 595 191 ,$90 135 191 ,$66 460 000 ,$25 000 000,['Thriller']
234,K-PAX,2001,2h,"7,6",331220,"7,2",43,['Iain Softley'],['Charles Leavitt'],"['USA', 'Niemcy']",22.10.2001,19.04.2002,$65 001 485 ,$50 338 485 ,$14 663 000 ,$68 000 000,['Dramat']
235,9 rota,2005,2h 19m,"7,8",100947,"6,8",15,['Fedor Bondarchuk'],['Yuriy Korotkov'],"['Ukraina', 'Rosja', 'Finlandia']",29.09.2005,,$26 146 165 ,$26 146 165 ,,,"['Dramat', 'Wojenny']"
236,Roman Holiday,1953,1h 58m,"7,8",64492,"7,7",46,['William Wyler'],"['Dalton Trumbo', 'Ian McLellan Hunter']","['USA', 'Włochy']",27.08.1953,,$12 000 000 ,$5 000 000 ,$7 000 000 ,$1 500 000,['Komedia rom.']
237,The Untouchables,1987,1h 59m,"7,7",102060,"7,2",46,['Brian De Palma'],['David Mamet'],['USA'],02.06.1987,31.12.1987,$186 270 454 ,$76 270 454 ,$110 000 000 ,$25 000 000,['Gangsterski']
238,The Usual Suspects,1995,1h 46m,"7,7",106674,"7,6",51,['Bryan Singer'],['Christopher McQuarrie'],"['Niemcy', 'USA']",25.01.1995,03.05.1996,$51 441 568 ,$23 341 568 ,$28 100 000 ,$6 000 000,"['Kryminał', 'Thriller']"
239,Raging Bull,1980,2h 9m,"7,8",65731,"8,4",52,['Martin Scorsese'],"['Paul Schrader', 'Mardik Martin']",['USA'],13.11.1980,,$23 402 427 ,$23 383 987 ,$18 440 ,$18 000 000,"['Biograficzny', 'Dramat']"
240,The Hateful Eight,2015,2h 48m,"7,7",230853,"7,3",86,['Quentin Tarantino'],['Quentin Tarantino'],['USA'],07.12.2015,15.01.2016,$156 480 177 ,$54 117 416 ,$102 362 761 ,$44 000 000,['Western']
241,Senna,2010,1h 46m,"8,0",40082,"7,6",18,['Asif Kapadia'],['Manish Pandey'],"['Wielka Brytania', 'Francja', 'USA']",07.10.2010,,$10 197 661 ,$1 612 430 ,$8 585 231 ,,"['Biograficzny', 'Dokumentalny', 'Sportowy']"
242,Meet Joe Black,1998,3h 1m,"7,6",282853,"6,1",47,['Martin Brest'],"['Ron Osborn', 'Jeff Reno']",['USA'],02.11.1998,01.01.1999,$142 940 100 ,$44 619 100 ,$98 321 000 ,$90 000 000,"['Fantasy', 'Melodramat']"
243,Wonder,2017,1h 53m,"7,7",128463,"6,5",35,['Stephen Chbosky'],"['Steve Conrad', 'Jack Thorne']","['USA', 'Hongkong']",14.11.2017,19.01.2018,$315 025 930 ,$132 422 809 ,$182 603 121 ,$20 000 000,"['Dramat', 'Obyczajowy', 'Komedia']"
244,The Hobbit: An Unexpected Journey,2012,2h 49m,"7,6",420864,"6,6",66,['Peter Jackson'],"['Guillermo del Toro', 'Peter Jackson']","['USA', 'Nowa Zelandia']",28.11.2012,25.12.2012,$1 017 030 651 ,$303 030 651 ,$714 000 000 ,$180 000 000,"['Fantasy', 'Przygodowy']"
245,Nie ma mocnych,1974,1h 30m,"7,7",129894,"7,2",25,['Sylwester Chęciński'],['Andrzej Mularczyk'],['Polska'],28.05.1974,,,,,,['Komedia obycz.']
246,Hannibal,2001,2h 11m,"7,6",357978,"6,4",58,['Ridley Scott'],"['David Mamet', 'Steven Zaillian']","['USA', 'Wielka Brytania']",09.02.2001,27.07.2001,$351 692 268 ,$165 092 268 ,$186 600 000 ,$87 000 000,['Thriller']
247,There Will Be Blood,2007,2h 38m,"7,7",95268,"8,5",75,['Paul Thomas Anderson'],['Paul Thomas Anderson'],['USA'],27.09.2007,29.02.2008,$76 182 388 ,$40 222 514 ,$35 959 874 ,$25 000 000,['Dramat obyczajowy']
248,Gifted,2017,1h 41m,"7,7",95820,"6,2",23,['Marc Webb'],['Tom Flynn'],['USA'],07.04.2017,18.08.2017,$43 069 254 ,$24 801 212 ,$18 268 042 ,$7 000 000,['Dramat']
249,Tonari no Totoro,1988,1h 25m,"7,8",74035,"8,2",53,['Hayao Miyazaki'],['Hayao Miyazaki'],['Japonia'],16.04.1988,28.09.2007,$30 318 580 ,$2 250 213 ,$28 068 367 ,,"['Familijny', 'Anime']"
250,Ray,2004,2h 32m,"7,9",55811,"6,6",25,['Taylor Hackford'],['James L. White'],['USA'],12.09.2004,04.02.2005,$123 971 376 ,$75 331 600 ,$48 639 776 ,$40 000 000,"['Biograficzny', 'Dramat', 'Muzyczny']"
251,Iron Man,2008,2h 6m,"7,6",384066,"7,0",67,['Jon Favreau'],"['Hawk Ostby', 'Mark Fergus']","['USA', 'Kanada']",14.04.2008,30.04.2008,$585 796 247 ,$319 034 126 ,$266 762 121 ,$140 000 000,"['Akcja', 'Sci-Fi']"
252,Dancer in the Dark,2000,2h 19m,"7,8",60162,"7,5",44,['Lars von Trier'],['Lars von Trier'],"['Dania', 'Szwecja', 'USA', 'Niemcy', 'Holandia', 'Wielka Brytania', 'Francja', 'Finlandia', 'Islandia', 'Norwegia', 'Włochy', 'Hiszpania', 'Argentyna']",17.05.2000,20.10.2000,$40 061 153 ,$4 184 036 ,$35 877 117 ,$12 800 000,"['Dramat', 'Musical']"
253,Znachor,1981,2h 8m,"7,7",155545,"7,2",45,['Jerzy Hoffman'],"['Jerzy Hoffman', 'Jacek Fuksiewicz']",['Polska'],12.04.1982,,,,,,['Obyczajowy']
254,The Matrix,1999,2h 16m,"7,6",851799,"8,0",86,"['Lilly Wachowski', 'Lana Wachowski']","['Lilly Wachowski', 'Lana Wachowski']","['USA', 'Australia']",24.03.1999,13.08.1999,$467 222 728 ,$172 076 928 ,$295 145 800 ,$63 000 000,"['Akcja', 'Sci-Fi']"
255,Terminator 2: Judgment Day,1991,2h 17m,"7,6",274242,"8,4",57,['James Cameron'],"['James Cameron', 'William Wisher']","['Francja', 'USA']",01.07.1991,05.05.1992,$520 881 154 ,$205 881 154 ,$315 000 000 ,$102 000 000,"['Akcja', 'Sci-Fi']"
256,Pride & Prejudice,2005,2h 7m,"7,7",174429,"6,9",42,['Joe Wright'],['Deborah Moggach'],"['Wielka Brytania', 'Francja', 'USA']",25.07.2005,13.01.2006,$129 356 597 ,$44 785 261 ,$84 571 336 ,$28 000 000,"['Kostiumowy', 'Melodramat']"
257,La haine,1995,1h 36m,"7,9",48988,"8,2",55,['Mathieu Kassovitz'],['Mathieu Kassovitz'],['Francja'],27.05.1995,05.01.1996,,,,,['Dramat']
258,So weit die Füße tragen,2001,2h 38m,"7,8",75837,"7,2",5,['Hardy Martins'],"['Hardy Martins', 'Bastian Clevé']",['Niemcy'],27.12.2001,,,,,,"['Dramat', 'Wojenny']"
259,Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,"7,6",262586,"6,4",57,['George Lucas'],['George Lucas'],['USA'],12.05.2005,19.05.2005,$905 594 524 ,$414 378 291 ,$491 216 233 ,$113 000 000,"['Przygodowy', 'Sci-Fi']"
260,Ice Age,2002,1h 21m,"7,6",500884,"7,1",61,['Chris Wedge'],"['Michael Berg', 'Michael J. Wilson']",['USA'],12.03.2002,07.06.2002,$383 257 136 ,$176 387 405 ,$206 869 731 ,$59 000 000,"['Animacja', 'Komedia', 'Przygodowy']"
261,Chce się żyć,2013,1h 47m,"7,7",125214,"6,5",47,['Maciej Pieprzyca'],['Maciej Pieprzyca'],['Polska'],25.08.2013,11.10.2013,$1 438 531 ,$1 438 531 ,,,['Dramat']
262,Jojo Rabbit,2019,1h 48m,"7,7",120736,"7,2",99,['Taika Waititi'],['Taika Waititi'],"['Niemcy', 'USA', 'Czechy', 'Nowa Zelandia']",08.09.2019,24.01.2020,$90 335 025 ,$33 370 906 ,$56 964 119 ,$14 000 000,"['Dramat', 'Komedia', 'Wojenny']"
263,The Elephant Man,1980,2h 5m,"7,9",52358,"8,1",44,['David Lynch'],"['David Lynch', 'Eric Bergren']","['USA', 'Wielka Brytania']",02.10.1980,31.12.1980,$26 023 860 ,$26 010 864 ,$12 996 ,$5 000 000,"['Biograficzny', 'Dramat']"
264,Memoirs of a Geisha,2005,2h 25m,"7,6",191585,"6,6",32,['Rob Marshall'],"['Robin Swicord', 'Doug Wright']","['USA', 'Francja', 'Japonia']",29.11.2005,10.03.2006,$162 242 962 ,$57 490 508 ,$104 752 454 ,$85 000 000,['Melodramat']
265,Perfetti sconosciuti,2016,1h 37m,"7,6",180111,"7,0",70,['Paolo Genovese'],"['Paolo Genovese', 'Filippo Bologna']",['Włochy'],02.02.2016,06.01.2017,$32 207 491 ,$32 207 491 ,,,"['Dramat', 'Komedia']"
266,Rosemary's Baby,1968,2h 16m,"7,7",151452,"8,3",76,['Roman Polański'],['Roman Polański'],['USA'],12.06.1968,,$33 395 426 ,$2 300 000,,,"['Horror', 'Psychologiczny']"
267,Dune,2021,2h 35m,"7,6",192778,"7,3",91,['Denis Villeneuve'],"['Eric Roth', 'Denis Villeneuve']","['USA', 'Wielka Brytania', 'Węgry', 'Kanada']",03.09.2021,22.10.2021,$407 573 628 ,$108 897 830 ,$298 675 798 ,$165 000 000,['Sci-Fi']
268,Night on Earth,1991,2h 9m,"7,9",45009,"7,3",39,['Jim Jarmusch'],['Jim Jarmusch'],"['Francja', 'Niemcy', 'USA', 'Wielka Brytania', 'Japonia']",04.10.1991,,$2 113 387 ,$2 015 810 ,$97 577 ,,"['Dramat', 'Komedia']"
269,Demain tout commence,2016,1h 58m,"7,7",94766,"6,5",8,['Hugo Gélin'],"['Hugo Gélin', 'Mathieu Oullion']","['Francja', 'Wielka Brytania']",04.11.2016,19.05.2017,$49 619 118 ,$49 619 118 ,,,"['Dramat', 'Komedia']"
270,Tangled,2010,1h 36m,"7,6",226516,"7,3",49,"['Nathan Greno', 'Byron Howard']",['Dan Fogelman'],['USA'],24.11.2010,26.11.2010,$592 462 816 ,$200 821 936 ,$391 640 880 ,$260 000 000,"['Animacja', 'Familijny', 'Komedia', 'Musical']"
271,Cabaret,1972,2h 4m,"8,0",36762,"8,4",52,['Bob Fosse'],"['Joe Masteroff', 'Jay Presson Allen']",['USA'],13.02.1972,,$42 765 000 ,$6 000 000,,,"['Dramat', 'Musical']"
272,Oldeuboi,2003,2h,"7,7",94052,"8,1",68,['Chan-wook Park'],"['Joon-hyung Lim', 'Chan-wook Park']",['Korea Południowa'],21.11.2003,08.10.2004,$17 173 767 ,$2 427 598 ,$14 746 169 ,$3 000 000,['Thriller']
273,Southpaw,2015,2h 3m,"7,6",156633,"5,3",36,['Antoine Fuqua'],['Kurt Sutter'],['USA'],15.06.2015,11.09.2015,$91 970 827 ,$52 421 953 ,$39 548 874 ,$30 000 000,"['Dramat', 'Sportowy']"
274,WALL·E,2008,1h 38m,"7,6",305054,"8,4",74,['Andrew Stanton'],"['Andrew Stanton', 'Jim Reardon']",['USA'],23.06.2008,18.07.2008,$527 402 840 ,$223 808 164 ,$303 594 676 ,$180 000 000,"['Animacja', 'Familijny', 'Sci-Fi']"
275,"Crna mačka, beli mačor",1998,2h,"7,8",61624,"7,9",30,['Emir Kusturica'],"['Emir Kusturica', 'Gordan Mihić']","['Francja', 'Niemcy', 'Austria', 'Grecja', 'Fed. Rep. Jugosławii']",01.06.1998,17.04.1999,,,,,"['Komedia rom.', 'Muzyczny']"
276,Aliens,1986,2h 17m,"7,6",213053,"8,0",66,['James Cameron'],['James Cameron'],"['USA', 'Wielka Brytania']",14.07.1986,12.08.1990,$131 060 248 ,$85 160 248 ,$45 900 000 ,$18 500 000,"['Horror', 'Sci-Fi']"
277,The Great Dictator,1940,2h 4m,"8,0",38368,"8,3",43,['Charlie Chaplin'],['Charlie Chaplin'],['USA'],15.10.1940,15.02.2008,,,,,"['Dramat', 'Komedia']"
278,Papillon,1973,2h 30m,"8,0",35359,"7,0",13,['Franklin J. Schaffner'],"['Dalton Trumbo', 'Lorenzo Semple Jr.']","['USA', 'Francja']",16.12.1973,,$53 267 000 ,$12 000 000,,,"['Dramat', 'Przygodowy', 'Biograficzny']"
279,Sherlock Holmes: A Game of Shadows,2011,2h 9m,"7,6",279245,"6,5",57,['Guy Ritchie'],"['Michele Mulroney', 'Kieran Mulroney']",['USA'],22.02.2011,05.01.2012,$543 848 418 ,$186 848 418 ,$357 000 000 ,$125 000 000,"['Kryminał', 'Przygodowy']"
280,Hair,1979,2h 1m,"7,8",63186,"7,5",43,['Miloš Forman'],['Michael Weller'],"['USA', 'RFN']",14.03.1979,31.07.2009,$15 313 606 ,$15 284 643 ,$28 963 ,$11 000 000,['Musical']
281,No Country for Old Men,2007,2h 2m,"7,6",246622,"8,3",78,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen']",['USA'],19.05.2007,15.02.2008,$171 627 166 ,$74 283 625 ,$97 343 541 ,$25 000 000,"['Dramat', 'Thriller']"
282,The Bucket List,2007,1h 37m,"7,6",257285,"6,7",46,['Rob Reiner'],['Justin Zackham'],['USA'],16.12.2007,28.03.2008,$175 372 502 ,$93 466 502 ,$81 906 000 ,$45 000 000,"['Dramat', 'Komedia']"
283,Baraka,1992,1h 36m,"8,2",25776,"7,0",13,['Ron Fricke'],['Constantine Nicholas'],['USA'],15.09.1992,10.06.2005,$1 332 110 ,$2 000 000,,,['Dokumentalny']
284,Desert Flower,2009,2h,"7,7",134508,"7,3",11,['Sherry Hormann'],['Sherry Hormann'],"['Wielka Brytania', 'Niemcy', 'Austria', 'Francja']",05.09.2009,26.03.2010,$14 682 943 ,$44 348 ,$14 638 595 ,,"['Biograficzny', 'Dramat']"
285,Men of Honor,2000,2h 8m,"7,7",87514,"6,4",12,['George Tillman Jr.'],['Scott Marshall Smith'],['USA'],14.09.2000,04.05.2001,$82 343 495 ,$48 818 921 ,$33 524 574 ,$32 000 000,"['Biograficzny', 'Dramat']"
286,Le sel de la terre,2014,1h 50m,"8,3",20560,"7,5",26,"['Juliano Ribeiro Salgado', 'Wim Wenders']","['David Rosier', 'Juliano Ribeiro Salgado']","['Francja', 'Włochy', 'Brazylia']",20.05.2014,23.10.2015,$5 412 466 ,$1 343 349 ,$4 069 117 ,,['Dokumentalny']
287,It's a Wonderful Life,1946,2h 10m,"8,1",26966,"7,9",41,['Frank Capra'],"['Albert Hackett', 'Jo Swerling']",['USA'],20.12.1946,,$8 574 081 ,$1 483 643 ,$7 090 438 ,,"['Dramat', 'Fantasy', 'Świąteczny']"
288,The Hobbit: The Desolation of Smaug,2013,2h 41m,"7,6",327288,"6,3",52,['Peter Jackson'],"['Guillermo del Toro', 'Peter Jackson']","['USA', 'Nowa Zelandia']",02.12.2013,25.12.2013,$959 027 992 ,$258 387 334 ,$700 640 658 ,,"['Fantasy', 'Przygodowy']"
289,The Bourne Identity,2002,1h 59m,"7,6",241845,"6,9",54,['Doug Liman'],"['Tony Gilroy', 'W. Blake Herron']","['USA', 'Niemcy', 'Czechy']",06.06.2002,27.09.2002,$214 034 224 ,$121 661 683 ,$92 372 541 ,$60 000 000,['Sensacyjny']
290,Harry Potter and the Goblet of Fire,2005,2h 37m,"7,6",419166,"6,9",60,['Mike Newell'],['Steve Kloves'],"['USA', 'Wielka Brytania']",06.11.2005,25.11.2005,$897 468 952 ,$290 469 928 ,$606 999 024 ,$150 000 000,"['Familijny', 'Fantasy', 'Przygodowy']"
291,Amores perros,2000,2h 33m,"7,8",70918,"7,2",29,['Alejandro González Iñárritu'],['Guillermo Arriaga'],['Meksyk'],14.05.2000,,$20 908 467 ,$5 408 467 ,$15 500 000 ,$2 000 000,"['Thriller', 'Dramat']"
292,Lord of War,2005,2h 2m,"7,6",313153,"6,5",36,['Andrew Niccol'],['Andrew Niccol'],"['USA', 'Francja', 'Niemcy', 'Zambia', 'Włochy', 'Dania', 'Wielka Brytania']",16.09.2005,04.11.2005,$72 617 068 ,$24 149 632 ,$48 467 436 ,$50 000 000,['Dramat']
293,La grande bellezza,2013,2h 22m,"7,7",73543,"8,2",68,['Paolo Sorrentino'],"['Umberto Contarello', 'Paolo Sorrentino']","['Włochy', 'Francja']",21.05.2013,07.02.2014,$24 930 592 ,$2 852 400 ,$22 078 192 ,,"['Dramat', 'Komedia']"
294,The Hunt for Red October,1990,2h 14m,"7,7",123115,"7,1",32,['John McTiernan'],"['David Shaber', 'Larry Ferguson']",['USA'],02.03.1990,,$200 512 643 ,$122 012 643 ,$78 500 000 ,$30 000 000,['Sensacyjny']
295,Twardowsky 2.0,2016,21m,"7,8",59403,"6,1",22,['Tomasz Bagiński'],['Błażej Dzikowski'],['Polska'],16.09.2016,,,,,,"['Sci-Fi', 'Krótkometrażowy']"
296,Adams æbler,2005,1h 34m,"7,7",89650,"7,2",34,['Anders Thomas Jensen'],['Anders Thomas Jensen'],"['Dania', 'Niemcy']",15.04.2005,,$2 421 577 ,$1 305 ,$2 420 272 ,,"['Dramat', 'Czarna komedia']"
